year,month,site,block,plot,total,deoc,ipac,deva,other,log_total,station,mean_maxF,mean_minF,precip_in,precip_mm,cum_mammal,shan_mammal,rich_mammal,liz_estimates,mam_estimates,mean_maxC,mean_minC,tempdifF,tempdifC,elevation,rain_year,plotidname,plotID
2016,April,Arid,2,Open,1,1,0,0,0,0.693147181,Lebec,66.3,43.1,0.57,14.47802896,13,0.5895476,2,61,6,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Open.2,10
2016,April,Arid,2,Partial,1,0,1,0,0,0.693147181,Lebec,66.3,43.1,0.57,14.47802896,42,1.0016857,4,73,46,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Partial.2,13
2016,April,Arid,2,Total,0,0,0,0,0,0,Lebec,66.3,43.1,0.57,14.47802896,34,1.2446206,4,61,41,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Total.2,16
2016,April,Arid,1,Open,0,0,0,0,0,0,Lebec,66.3,43.1,0.57,14.47802896,13,0.5895476,2,52,2,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Open.1,1
2016,April,Arid,1,Partial,0,0,0,0,0,0,Lebec,66.3,43.1,0.57,14.47802896,42,1.0016857,4,74,16,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Partial.1,4
2016,April,Arid,1,Total,1,1,0,0,0,0.693147181,Lebec,66.3,43.1,0.57,14.47802896,34,1.2446206,4,68,16,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Total.1,7
2016,April,Arid,3,Open,2,2,0,0,0,1.098612289,Lebec,66.3,43.1,0.57,14.47802896,13,0.5895476,2,83,3,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Open.3,19
2016,April,Arid,3,Partial,0,0,0,0,0,0,Lebec,66.3,43.1,0.57,14.47802896,42,1.0016857,4,70,#N/A,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Partial.3,22
2016,April,Arid,3,Total,2,1,1,0,0,1.098612289,Lebec,66.3,43.1,0.57,14.47802896,34,1.2446206,4,89,16,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Total.3,25
2016,April,Intermediate,3,Open,3,2,0,1,0,1.386294361,Loraine,64.9,39.6,1.64,41.65608331,8,0.5895476,2,208,#N/A,18.27777778,4.222222222,25.3,14.05555556,1290.8,2015/2016,Intermediate.Open.3,20
