year,month,site,block,plot,cum_mammal,shan_mammal,rich_mammal
2016,April,Intermediate,3,Open,8,0.5895476,2
2016,April,Intermediate,3,Partial,12,0.748017,2
2016,April,Intermediate,3,Total,23,0.687067,2
2016,April,Intermediate,2,Open,8,0.5895476,2
2016,April,Intermediate,2,Total,23,0.687067,2
2016,April,Intermediate,2,Partial,12,0.748017,2
2016,April,Intermediate,1,Total,23,0.687067,2
2016,April,Intermediate,1,Open,8,0.5895476,2
2016,April,Intermediate,1,Partial,12,0.748017,2
2016,April,Mesic,1,Total,72,1.1596465,4
2016,April,Mesic,1,Partial,62,1.3021472,4
2016,April,Mesic,1,Open,48,1.1649914,3
2016,April,Mesic,2,Total,72,1.1596465,4
2016,April,Mesic,2,Partial,62,1.3021472,4
2016,April,Mesic,2,Open,48,1.1649914,3
2016,April,Mesic,3,Total,72,1.1596465,4
2016,April,Mesic,3,Partial,62,1.3021472,4
2016,April,Mesic,3,Open,48,1.1649914,3
2016,April,Arid,2,Open,13,0.5895476,2
2016,April,Arid,2,Partial,42,1.0016857,4
2016,April,Arid,2,Total,34,1.2446206,4
2016,April,Arid,1,Open,13,0.5895476,2
2016,April,Arid,1,Partial,42,1.0016857,4
2016,April,Arid,1,Total,34,1.2446206,4
2016,April,Arid,3,Open,13,0.5895476,2
2016,April,Arid,3,Partial,42,1.0016857,4
2016,April,Arid,3,Total,34,1.2446206,4
2016,May,Mesic,1,Open,48,1.1649914,3
2016,May,Mesic,1,Partial,62,1.3021472,4
2016,May,Mesic,1,Total,72,1.1596465,4
2016,May,Mesic,2,Open,48,1.1649914,3
2016,May,Mesic,2,Partial,62,1.3021472,4
2016,May,Mesic,2,Total,72,1.1596465,4
2016,May,Mesic,3,Open,48,1.1649914,3
2016,May,Mesic,3,Partial,62,1.3021472,4
2016,May,Mesic,3,Total,72,1.1596465,4
2016,May,Intermediate,1,Total,23,0.687067,2
2016,May,Intermediate,2,Open,8,0.5895476,2
2016,May,Intermediate,2,Partial,12,0.748017,2
2016,May,Intermediate,2,Total,23,0.687067,2
2016,May,Intermediate,3,Open,8,0.5895476,2
2016,May,Intermediate,3,Partial,12,0.748017,2
2016,May,Intermediate,3,Total,23,0.687067,2
2016,May,Intermediate,1,Open,8,0.5895476,2
2016,May,Intermediate,1,Partial,12,0.748017,2
2016,May,Arid,1,Open,13,0.5895476,2
2016,May,Arid,1,Partial,42,1.0016857,4
2016,May,Arid,1,Total,34,1.2446206,4
2016,May,Arid,2,Open,13,0.5895476,2
2016,May,Arid,2,Partial,42,1.0016857,4
2016,May,Arid,2,Total,34,1.2446206,4
