Year,Month,Site,Block,Plot,PlotID,Total_ticks,D_occidentalis,I_pacificus,D_variabilis,Other_unknown,stationID_elevation,stationID_precip,station_elevation,mean_max_F,mean_min_F,diff,rain_year,precip (in),precip (mm),,,,,,,,,
2016,April,Intermediate,3,Open,IO3,3,2,0,1,0,Loraine,Loraine,1290.8,64.9,39.6,25.3,2015/2016,1.64,41.65608331,,,,,,,,,
2016,April,Intermediate,3,Partial,IP3,5,4,0,0,1,Loraine,Loraine,1290.8,64.9,39.6,25.3,2015/2016,1.64,41.65608331,,,,,,,,,
2016,April,Intermediate,3,Total,IT3,2,2,0,0,0,Loraine,Loraine,1290.8,64.9,39.6,25.3,2015/2016,1.64,41.65608331,,,,,,,,,
2016,April,Intermediate,2,Open,IO2,2,1,1,0,0,Loraine,Loraine,1290.8,64.9,39.6,25.3,2015/2016,1.64,41.65608331,,,,,,,,,
2016,April,Intermediate,2,Total,IT2,0,0,0,0,0,Loraine,Loraine,1290.8,64.9,39.6,25.3,2015/2016,1.64,41.65608331,,,,,,,,,
2016,April,Intermediate,2,Partial,IP2,1,1,0,0,0,Loraine,Loraine,1290.8,64.9,39.6,25.3,2015/2016,1.64,41.65608331,,,,,,,,,
2016,April,Intermediate,1,Total,IT1,0,0,0,0,0,Loraine,Loraine,1290.8,64.9,39.6,25.3,2015/2016,1.64,41.65608331,,,,,,,,,
2016,April,Intermediate,1,Open,IO1,1,1,0,0,0,Loraine,Loraine,1290.8,64.9,39.6,25.3,2015/2016,1.64,41.65608331,,,,,,,,,
2016,April,Intermediate,1,Partial,IP1,2,2,0,0,0,Loraine,Loraine,1290.8,64.9,39.6,25.3,2015/2016,1.64,41.65608331,,,,,,,,,
2016,April,Mesic,1,Total,MT1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,62.6,32.4,30.2,2015/2016,NA,NA,,,,,,,,,
2016,April,Mesic,1,Partial,MP1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,62.6,32.4,30.2,2015/2016,NA,NA,,,,,,,,,
2016,April,Mesic,1,Open,MO1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,62.6,32.4,30.2,2015/2016,NA,NA,,,,,,,,,
2016,April,Mesic,2,Total,MT2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,62.6,32.4,30.2,2015/2016,NA,NA,,,,,,,,,
