country,code,area_sqkm,population,GDP_capita,dalys,tree_cover_loss_ha
Afghanistan,AFG,652860,36296111,519.8889126,254469.8541,25.70584525
Angola,AGO,1246700,29816769,4095.810057,800666.5027,280456.3211
Albania,ALB,27400,2873457,4531.020806,154.3584235,1689.025033
Andorra,AND,470,76997,38964.90448,0.394264821,3.422160395
Argentina,ARG,2736690,44044811,14613.04182,28946.39455,233919.6778
Armenia,ARM,28470,2944789,3914.527854,1241.42999,41.74731802
Antigua and Barbuda,ATG,440,95425,15383.5764,122.7369743,71.8984098
Australia,AUS,7682300,24601860,54027.96682,561.3682137,236876.4576
Austria,AUT,82523,8797566,47309.36627,60.32125773,18405.68973
Azerbaijan,AZE,82663,9854033,4147.089716,4161.470264,80.10105221
Burundi,BDI,25680,10827010,292.9980095,676851.0826,1775.192777
Belgium,BEL,30280,11375158,44089.31009,27.52302252,4137.322686
Benin,BEN,112760,11175192,1136.59397,763802.6877,2238.446401
Bangladesh,BGD,130170,159685421,1563.767819,487784.0817,28376.54723
Bulgaria,BGR,108560,7075947,8334.081728,323.7372115,7687.856635
Bahamas,BHS,771,381749,32719.66659,169.1411148,3703.936227
Bosnia and Herzegovina,BIH,10010,3351534,5394.579953,954.014337,1339.314768
Belarus,BLR,202910,9498264,5761.74712,2681.044341,78767.08866
Belize,BLZ,22810,375775,4945.857699,462.7254591,16366.2743
Bermuda,BMU,50,63873,111820.5815,7.310865837,0.848838596
Bolivia,BOL,1083300,11192853,3351.124344,40918.45986,463194.4714
Brazil,BRA,8358140,207833825,9928.643063,531635.2388,4519833.171
Barbados,BRB,430,286229,17391.66891,231.3128149,15.81409675
Brunei,BRN,5270,424481,28571.60829,212.9455807,944.7101789
Bhutan,BTN,38117,745563,3286.596744,2500.076506,1972.244379
Botswana,BWA,566730,2205076,7893.418671,4213.322977,1.157179653
Central African Republic,CAF,622980,4596023,450.900697,335706.7069,63910.17759
Canada,CAN,9093510,36545295,45129.35644,147.0079243,2559736.04
Switzerland,CHE,39516,8451840,83352.08865,83.14650024,2542.414851
Chile,CHL,743532,18470435,14998.81706,11794.53608,214837.4809
China,CHN,9388211,1386395000,8879.438667,1800348.626,644239.3396
Cote d'Ivoire,CIV,318000,24437475,2111.026557,1257925.737,357273.0222
Cameroon,CMR,472710,24566070,1425.106368,1786697.745,187281.052
Democratic Republic of Congo,COD,2267050,81398765,467.0742317,7156365.23,1467956.658
Congo,COG,341500,5110701,2173.680253,164481.6235,63874.77359
Colombia,COL,1109500,48909844,6376.706716,62878.50833,424870.2839
Comoros,COM,1861,813890,1323.814958,2359.144498,307.943215
Cape Verde,CPV,4030,537499,3292.633503,1250.349671,10.8567903
Costa Rica,CRI,51060,4949955,12225.57449,5336.741182,22095.55522
Cuba,CUB,104020,1179685,8541.213686,5011.563349,76813.80059
Cyprus,CYP,9240,10594438,26444.07438,8.978665598,437.2696528
Czechia,CZE,77210,82657002,20636.19995,3531.016313,26511.92283
Germany,DEU,348900,71460,44542.2952,389.0344448,33000.27868
Dominica,DMA,750,5764980,7274.517731,60.04848181,23291.20987
Denmark,DNK,42262,10513111,57610.09818,18.97213077,4360.353966
Dominican Republic,DOM,48310,41389174,7609.353275,16185.87569,27062.92509
Algeria,DZA,2381741,16785356,4109.703442,11482.82943,45978.5551
Ecuador,ECU,248360,96442590,6213.503127,24750.781,71107.7558
Egypt,EGY,995450,,2444.290387,94249.80313,58.43038359
Eritrea,ERI,101000,46593236,642.5082588,18234.87554,2.529524333
Spain,ESP,500210,1317384,28100.58624,17729.35497,98458.97696
Estonia,EST,42390,106399926,20387.28315,320.4060568,38856.65723
Ethiopia,ETH,1.00E+06,5508214,768.5230154,749081.0287,35403.50583
Finland,FIN,303890,,46297.49635,23.73222529,336198.6682
Fiji,FJI,18270,877460,6101.02389,1465.060934,3091.618999
France,FRA,547557,66918020,38685.25849,299.1043591,69249.04325
Micronesia (country),FSM,700,111461,3289.642117,251.3679174,76.66233752
Gabon,GAB,257670,2064812,7230.434912,53190.53371,38643.85552
United Kingdom,GBR,241930,66058859,40304.72308,13951.66007,23041.72585
Georgia,GEO,69490,3728004,4357.000936,972.1776244,207.8981654
Ghana,GHA,227540,29121464,2020.68179,1220133.838,115285.965
Guinea,GIN,245720,12067516,855.5752706,925624.3119,231588.0209
Gambia,GMB,10120,2213900,679.7550717,20007.06714,8.093337744
Guinea-Bissau,GNB,28120,1828146,738.5499449,30435.91584,16436.50458
Equatorial Guinea,GNQ,28050,1262008,9667.857801,71009.76316,11937.94593
Greece,GRC,128900,10754679,18562.22943,318.3986174,8906.940785
Grenada,GRD,340,110874,10152.83281,58.23736141,28.15271755
Guatemala,GTM,107160,16087418,4454.04815,29920.54383,79731.60582
Guyana,GUY,196850,775218,6124.95367,4033.362259,19433.66403
Honduras,HND,111890,9429016,2453.727115,28161.26733,113473.7329
Croatia,HRV,55960,4124531,13451.62495,1538.919757,5846.534456
Haiti,HTI,27560,10982367,1294.239628,46003.49541,5498.831192
Hungary,HUN,90530,9787966,14605.85435,3482.146344,14108.81691
Indonesia,IDN,1811570,264650969,3837.578024,1242798.745,1300719.376
India,IND,2973190,1338676779,1980.66702,6818841.285,189420.9659
Ireland,IRL,68890,4807388,69601.68388,17.93115013,6128.753456
Iran,IRN,1628760,80673888,5520.314782,20997.52171,109.9140751
Iraq,IRQ,434320,37552789,5076.690795,32386.64418,0.983445182
Israel,ISR,21640,8713300,40474.66813,137.4134182,99.54904099
Italy,ITA,294140,60536709,32326.67421,15804.55845,34095.34985
Jamaica,JAM,10830,2920848,5070.099503,1683.502004,2200.054601
Jordan,JOR,88780,9785840,4231.51828,2501.387304,0.980525455
Japan,JPN,364560,126785797,38891.08627,1491.197738,47612.4598
Kazakhstan,KAZ,2699700,18037776,9247.581331,10706.38819,975.1769846
Kenya,KEN,569140,50221146,1572.345734,410078.0119,22163.38815
Kyrgyzstan,KGZ,191800,6198200,1242.769643,5035.992589,55.75207341
