Year,Month,Site,Block,Plot,Total_Ticks,Dermacentor_occidentalis,Ixodes_pacificus,Dermacentor_variabilis,Other_unknown
2019,January,Arid,2,Open,0,0,0,0,0
2019,January,Arid,2,Partial,0,0,0,0,0
2019,January,Arid,2,Total,0,0,0,0,0
2019,January,Arid,1,Open,0,0,0,0,0
2019,January,Arid,1,Partial,0,0,0,0,0
2019,January,Arid,1,Total,0,0,0,0,0
2019,January,Arid,3,Open,0,0,0,0,0
2019,January,Arid,3,Partial,0,0,0,0,0
2019,January,Arid,3,Total,0,0,0,0,0
2019,January,Intermediate,3,Open,0,0,0,0,0
2019,January,Intermediate,3,Partial,0,0,0,0,0
2019,January,Intermediate,3,Total,0,0,0,0,0
2019,January,Intermediate,2,Open,0,0,0,0,0
2019,January,Intermediate,2,Total,0,0,0,0,0
2019,January,Intermediate,2,Partial,0,0,0,0,0
2019,January,Intermediate,1,Total,0,0,0,0,0
2019,January,Intermediate,1,Open,0,0,0,0,0
2019,January,Intermediate,1,Partial,0,0,0,0,0
2019,January,Mesic,1,Total,0,0,0,0,0
2019,January,Mesic,1,Partial,0,0,0,0,0
2019,January,Mesic,1,Open,0,0,0,0,0
2019,January,Mesic,2,Total,0,0,0,0,0
2019,January,Mesic,2,Partial,0,0,0,0,0
2019,January,Mesic,2,Open,0,0,0,0,0
2019,January,Mesic,3,Total,0,0,0,0,0
2019,January,Mesic,3,Partial,0,0,0,0,0
2019,January,Mesic,3,Open,0,0,0,0,0
2019,February,Intermediate,1,Open,0,0,0,0,0
2019,February,Intermediate,1,Partial,0,0,0,0,0
2019,February,Intermediate,1,Total,0,0,0,0,0
2019,February,Intermediate,2,Open,0,0,0,0,0
2019,February,Intermediate,2,Partial,0,0,0,0,0
2019,February,Intermediate,2,Total,0,0,0,0,0
2019,February,Intermediate,3,Open,0,0,0,0,0
2019,February,Intermediate,3,Partial,1,1,0,0,0
2019,February,Intermediate,3,Total,1,1,0,0,0
2019,February,Mesic,1,Open,0,0,0,0,0
2019,February,Mesic,1,Partial,0,0,0,0,0
2019,February,Mesic,1,Total,0,0,0,0,0
2019,February,Mesic,2,Open,0,0,0,0,0
2019,February,Mesic,2,Partial,0,0,0,0,0
2019,February,Mesic,2,Total,0,0,0,0,0
2019,February,Mesic,3,Open,0,0,0,0,0
2019,February,Mesic,3,Partial,0,0,0,0,0
2019,February,Mesic,3,Total,0,0,0,0,0
2019,February,Arid,1,Open,0,0,0,0,0
2019,February,Arid,1,Partial,1,0,1,0,0
2019,February,Arid,1,Total,1,1,0,0,0
2019,February,Arid,2,Open,0,0,0,0,0
2019,February,Arid,2,Partial,0,0,0,0,0
2019,February,Arid,2,Total,1,1,0,0,0
2019,February,Arid,3,Open,0,0,0,0,0
2019,February,Arid,3,Partial,1,0,1,0,0
2019,February,Arid,3,Total,0,0,0,0,0
2019,March,Intermediate,1,Open,0,0,0,0,0
2019,March,Intermediate,1,Partial,0,0,0,0,0
2019,March,Intermediate,1,Total,0,0,0,0,0
2019,March,Intermediate,2,Open,1,1,0,0,0
2019,March,Intermediate,2,Partial,6,6,0,0,0
2019,March,Intermediate,2,Total,5,5,0,0,0
2019,March,Intermediate,3,Open,1,1,0,0,0
2019,March,Intermediate,3,Partial,15,13,0,2,0
2019,March,Intermediate,3,Total,12,12,0,0,0
2019,March,Mesic,1,Open,0,0,0,0,0
2019,March,Mesic,1,Partial,0,0,0,0,0
2019,March,Mesic,1,Total,0,0,0,0,0
2019,March,Mesic,2,Open,0,0,0,0,0
2019,March,Mesic,2,Partial,0,0,0,0,0
2019,March,Mesic,2,Total,0,0,0,0,0
2019,March,Mesic,3,Open,0,0,0,0,0
2019,March,Mesic,3,Partial,0,0,0,0,0
2019,March,Mesic,3,Total,0,0,0,0,0
2019,March,Arid,1,Open,0,0,0,0,0
2019,March,Arid,1,Partial,2,1,1,0,0
2019,March,Arid,1,Total,2,2,0,0,0
2019,March,Arid,2,Open,0,0,0,0,0
2019,March,Arid,2,Partial,6,5,1,0,0
2019,March,Arid,2,Total,1,0,1,0,0
2019,March,Arid,3,Open,0,0,0,0,0
2019,March,Arid,3,Partial,1,1,0,0,0
2019,March,Arid,3,Total,1,1,0,0,0
2019,April,Intermediate,3,Open,35,35,0,0,0
2019,April,Intermediate,3,Partial,38,37,1,0,0
2019,April,Intermediate,3,Total,35,35,0,0,0
2019,April,Intermediate,2,Open,9,9,0,0,0
2019,April,Intermediate,2,Total,11,11,0,0,0
2019,April,Intermediate,2,Partial,0,0,0,0,0
2019,April,Intermediate,1,Total,3,3,0,0,0
2019,April,Intermediate,1,Open,1,1,0,0,0
2019,April,Intermediate,1,Partial,5,5,0,0,0
2019,April,Mesic,1,Total,3,3,0,0,0
2019,April,Mesic,1,Partial,7,7,0,0,0
2019,April,Mesic,1,Open,6,6,0,0,0
2019,April,Mesic,2,Total,0,0,0,0,0
2019,April,Mesic,2,Partial,1,1,0,0,0
2019,April,Mesic,2,Open,0,0,0,0,0
2019,April,Mesic,3,Total,1,1,0,0,0
2019,April,Mesic,3,Partial,0,0,0,0,0
2019,April,Mesic,3,Open,0,0,0,0,0
2019,April,Arid,2,Open,0,0,0,0,0
2019,April,Arid,2,Partial,42,42,0,0,0
2019,April,Arid,2,Total,8,8,0,0,0
2019,April,Arid,1,Open,1,1,0,0,0
2019,April,Arid,1,Partial,5,5,0,0,0
2019,April,Arid,1,Total,4,4,0,0,0
2019,April,Arid,3,Open,1,1,0,0,0
2019,April,Arid,3,Partial,16,16,0,0,0
2019,April,Arid,3,Total,1,1,0,0,0
2019,April,Intermediate,2,Open,11,11,0,0,0
2019,April,Intermediate,2,Partial,15,15,0,0,0
2019,April,Intermediate,2,Total,1,1,0,0,0
2019,April,Intermediate,3,Open,30,29,0,0,1
2019,April,Intermediate,3,Partial,37,37,0,0,0
2019,April,Intermediate,3,Total,53,53,0,0,0
2019,April,Intermediate,1,Open,0,0,0,0,0
2019,April,Intermediate,1,Partial,3,3,0,0,0
2019,April,Intermediate,1,Total,0,0,0,0,0
2019,April,Mesic,1,Open,4,4,0,0,0
2019,April,Mesic,1,Partial,0,0,0,0,0
2019,April,Mesic,1,Total,11,11,0,0,0
2019,April,Mesic,2,Open,0,0,0,0,0
2019,April,Mesic,2,Partial,0,0,0,0,0
2019,April,Mesic,2,Total,0,0,0,0,0
2019,April,Mesic,3,Open,0,0,0,0,0
2019,April,Mesic,3,Partial,0,0,0,0,0
2019,April,Mesic,3,Total,0,0,0,0,0
2019,April,Arid,1,Open,1,1,0,0,0
2019,April,Arid,1,Partial,0,0,0,0,0
2019,April,Arid,1,Total,2,2,0,0,0
2019,April,Arid,2,Open,0,0,0,0,0
2019,April,Arid,2,Partial,31,31,0,0,0
2019,April,Arid,2,Total,5,5,0,0,0
2019,April,Arid,3,Open,0,0,0,0,0
2019,April,Arid,3,Partial,3,3,0,0,0
2019,April,Arid,3,Total,1,1,0,0,0
2019,May,Mesic,1,Open,NA,NA,NA,NA,NA
2019,May,Mesic,1,Partial,NA,NA,NA,NA,NA
2019,May,Mesic,1,Total,NA,NA,NA,NA,NA
2019,May,Mesic,2,Open,NA,NA,NA,NA,NA
2019,May,Mesic,2,Partial,NA,NA,NA,NA,NA
2019,May,Mesic,2,Total,NA,NA,NA,NA,NA
2019,May,Mesic,3,Open,NA,NA,NA,NA,NA
2019,May,Mesic,3,Partial,NA,NA,NA,NA,NA
2019,May,Mesic,3,Total,NA,NA,NA,NA,NA
2019,May,Intermediate,1,Total,0,0,0,0,0
2019,May,Intermediate,2,Open,9,9,0,0,0
2019,May,Intermediate,2,Partial,1,1,0,0,0
2019,May,Intermediate,2,Total,0,0,0,0,0
2019,May,Intermediate,3,Open,6,6,0,0,0
2019,May,Intermediate,3,Partial,11,11,0,0,0
2019,May,Intermediate,3,Total,19,19,0,0,0
2019,May,Intermediate,1,Open,1,1,0,0,0
2019,May,Intermediate,1,Partial,2,2,0,0,0
2019,May,Arid,1,Open,0,0,0,0,0
2019,May,Arid,1,Partial,2,2,0,0,0
2019,May,Arid,1,Total,1,1,0,0,0
2019,May,Arid,2,Open,0,0,0,0,0
2019,May,Arid,2,Partial,0,0,0,0,0
2019,May,Arid,2,Total,0,0,0,0,0
2019,May,Arid,3,Open,0,0,0,0,0
2019,May,Arid,3,Partial,0,0,0,0,0
2019,May,Arid,3,Total,0,0,0,0,0
2019,May,Mesic,1,Open,1,1,0,0,0
2019,May,Mesic,1,Partial,8,8,0,0,0
2019,May,Mesic,1,Total,3,3,0,0,0
2019,May,Mesic,2,Open,3,3,0,0,0
2019,May,Mesic,2,Partial,5,5,0,0,0
2019,May,Mesic,2,Total,3,3,0,0,0
2019,May,Mesic,3,Open,5,5,0,0,0
2019,May,Mesic,3,Partial,0,0,0,0,0
2019,May,Mesic,3,Total,1,1,0,0,0
2019,May,Intermediate,1,Total,0,0,0,0,0
2019,May,Intermediate,2,Open,6,6,0,0,0
2019,May,Intermediate,2,Partial,2,2,0,0,0
2019,May,Intermediate,2,Total,0,0,0,0,0
2019,May,Intermediate,3,Open,0,0,0,0,0
2019,May,Intermediate,3,Partial,0,0,0,0,0
2019,May,Intermediate,3,Total,0,0,0,0,0
2019,May,Intermediate,1,Open,0,0,0,0,0
2019,May,Intermediate,1,Partial,0,0,0,0,0
2019,June,Mesic,1,Open,4,4,0,0,0
2019,June,Mesic,1,Partial,3,3,0,0,0
2019,June,Mesic,1,Total,3,3,0,0,0
2019,June,Mesic,2,Open,2,2,0,0,0
2019,June,Mesic,2,Partial,6,6,0,0,0
2019,June,Mesic,2,Total,1,1,0,0,0
2019,June,Mesic,3,Open,1,1,0,0,0
2019,June,Mesic,3,Partial,4,4,0,0,0
2019,June,Mesic,3,Total,2,2,0,0,0
2019,June,Intermediate,1,Total,1,1,0,0,0
2019,June,Intermediate,2,Open,7,7,0,0,0
2019,June,Intermediate,2,Partial,5,5,0,0,0
2019,June,Intermediate,2,Total,6,6,0,0,0
2019,June,Intermediate,3,Open,9,9,0,0,0
2019,June,Intermediate,3,Partial,11,10,0,1,0
2019,June,Intermediate,3,Total,14,14,0,0,0
2019,June,Intermediate,1,Open,1,1,0,0,0
2019,June,Intermediate,1,Partial,4,4,0,0,0
2019,June,Arid,1,Open,NA,NA,NA,NA,NA
2019,June,Arid,1,Partial,NA,NA,NA,NA,NA
2019,June,Arid,1,Total,NA,NA,NA,NA,NA
2019,June,Arid,2,Open,NA,NA,NA,NA,NA
2019,June,Arid,2,Partial,NA,NA,NA,NA,NA
2019,June,Arid,2,Total,NA,NA,NA,NA,NA
2019,June,Arid,3,Open,NA,NA,NA,NA,NA
2019,June,Arid,3,Partial,NA,NA,NA,NA,NA
2019,June,Arid,3,Total,NA,NA,NA,NA,NA
2019,June,Mesic,1,Open,0,0,0,0,0
2019,June,Mesic,1,Partial,0,0,0,0,0
2019,June,Mesic,1,Total,0,0,0,0,0
2019,June,Mesic,2,Open,5,5,0,0,0
2019,June,Mesic,2,Partial,0,0,0,0,0
2019,June,Mesic,2,Total,2,2,0,0,0
2019,June,Mesic,3,Open,2,2,0,0,0
2019,June,Mesic,3,Partial,6,6,0,0,0
2019,June,Mesic,3,Total,5,5,0,0,0
2019,June,Intermediate,1,Total,0,0,0,0,0
2019,June,Intermediate,2,Open,0,0,0,0,0
2019,June,Intermediate,2,Partial,7,7,0,0,0
2019,June,Intermediate,2,Total,3,3,0,0,0
2019,June,Intermediate,3,Open,4,4,0,0,0
2019,June,Intermediate,3,Partial,18,18,0,0,0
2019,June,Intermediate,3,Total,3,3,0,0,0
2019,June,Intermediate,1,Open,2,2,0,0,0
2019,June,Intermediate,1,Partial,1,1,0,0,0
2019,June,Arid,1,Open,NA,NA,NA,NA,NA
2019,June,Arid,1,Partial,NA,NA,NA,NA,NA
2019,June,Arid,1,Total,NA,NA,NA,NA,NA
2019,June,Arid,2,Open,NA,NA,NA,NA,NA
2019,June,Arid,2,Partial,NA,NA,NA,NA,NA
2019,June,Arid,2,Total,NA,NA,NA,NA,NA
2019,June,Arid,3,Open,NA,NA,NA,NA,NA
2019,June,Arid,3,Partial,NA,NA,NA,NA,NA
2019,June,Arid,3,Total,NA,NA,NA,NA,NA
2019,July,Mesic,1,Open,0,0,0,0,0
