year,month,site,block,plot,day1,day2,day3,tag
2018,NA,Arid,1,Total,1,1,0,17
2018,NA,Arid,1,Total,1,0,0,94
2018,NA,Arid,1,Total,0,1,0,18
2018,NA,Arid,1,Total,0,0,1,65
2018,NA,Arid,1,Total,0,0,1,83
2018,NA,Arid,1,Total,0,0,1,60
2018,NA,Arid,1,Partial,1,0,0,19
2018,NA,Arid,1,Partial,1,0,0,59
2018,NA,Arid,1,Partial,0,1,1,45
2018,NA,Arid,1,Partial,0,1,0,23
2018,NA,Arid,1,Partial,0,0,1,22
2018,NA,Arid,1,Partial,0,0,1,90
2018,NA,Arid,1,Open,0,1,0,66
2018,NA,Arid,2,Total,1,0,0,24
2018,NA,Arid,2,Total,1,1,0,27
2018,NA,Arid,2,Total,0,1,0,28
2018,NA,Arid,2,Total,0,0,1,NA
2018,NA,Arid,2,Total,1,0,1,98
2018,NA,Arid,2,Total,0,1,0,79
2018,NA,Arid,2,Total,0,1,0,84
2018,NA,Arid,2,Total,0,1,0,92
2018,NA,Arid,2,Total,0,0,1,26
2018,NA,Arid,2,Partial,1,0,0,72
2018,NA,Arid,2,Partial,1,0,0,76
2018,NA,Arid,2,Partial,1,0,0,49
2018,NA,Arid,2,Partial,1,1,0,44
2018,NA,Arid,2,Partial,0,1,0,97
2018,NA,Arid,2,Partial,0,1,1,68
2018,NA,Arid,2,Partial,0,0,1,55
2018,NA,Arid,2,Partial,0,0,1,61
2018,NA,Arid,2,Partial,0,0,1,51
2018,NA,Arid,2,Partial,0,0,1,91
2018,NA,Arid,2,Open,1,0,1,94
2018,NA,Arid,2,Open,0,1,0,12
2018,NA,Arid,2,Open,0,1,0,99
2018,NA,Arid,3,Total,1,0,0,69
2018,NA,Arid,3,Total,1,0,0,4
2018,NA,Arid,3,Total,0,1,0,88
2018,NA,Arid,3,Total,0,1,1,93
2018,NA,Arid,3,Total,0,1,0,36
2018,NA,Arid,3,Total,0,0,1,101
2018,NA,Arid,3,Partial,1,0,0,102
2018,NA,Arid,3,Partial,0,1,0,85
2018,NA,Arid,3,Partial,0,1,0,40
2018,NA,Arid,3,Partial,0,1,0,5
2018,NA,Arid,3,Partial,0,0,1,32
2018,NA,Arid,3,Partial,0,0,1,81
2018,NA,Arid,3,Open,1,0,0,103
2018,NA,Arid,3,Open,0,1,1,19
2018,NA,Intermediate,1,Total,1,0,1,50
2018,NA,Intermediate,1,Total,1,1,1,106
2018,NA,Intermediate,1,Total,0,1,0,105
2018,NA,Intermediate,1,Total,0,1,0,104
2018,NA,Intermediate,1,Total,0,1,0,107
2018,NA,Intermediate,1,Total,0,1,0,108
2018,NA,Intermediate,1,Total,0,1,0,109
2018,NA,Intermediate,1,Total,0,0,1,86
2018,NA,Intermediate,1,Total,0,0,1,112
2018,NA,Intermediate,1,Total,0,0,1,111
2018,NA,Intermediate,1,Partial,1,0,0,53
2018,NA,Intermediate,1,Partial,1,0,0,110
2018,NA,Intermediate,1,Partial,0,1,1,9
2018,NA,Intermediate,1,Partial,0,1,0,96
2018,NA,Intermediate,2,Total,1,0,0,37
2018,NA,Intermediate,2,Total,0,1,0,82
2018,NA,Intermediate,2,Total,0,1,0,114
2018,NA,Intermediate,2,Total,0,0,1,117
2018,NA,Intermediate,2,Total,0,0,1,116
2018,NA,Intermediate,2,Total,0,0,1,115
2018,NA,Intermediate,2,Partial,0,1,0,118
2018,NA,Intermediate,2,Open,1,0,1,119
2018,NA,Intermediate,2,Open,1,0,1,120
2018,NA,Intermediate,2,Open,0,1,0,121
2018,NA,Intermediate,2,Open,0,1,0,80
2018,NA,Intermediate,3,Total,0,1,1,201
2018,NA,Intermediate,3,Total,0,0,1,123
2018,NA,Intermediate,3,Partial,1,0,1,124
2018,NA,Intermediate,3,Partial,0,1,1,125
2018,NA,Intermediate,3,Partial,0,1,0,126
2018,NA,Intermediate,3,Partial,0,0,1,127
2018,NA,Intermediate,3,Partial,0,0,1,129
2018,NA,Intermediate,3,Open,0,1,0,128
2018,NA,Intermediate,3,Open,0,0,1,130
2018,NA,Mesic,1,Total,1,0,0,150
2018,NA,Mesic,1,Total,0,1,1,159
2018,NA,Mesic,1,Total,0,1,0,160
2018,NA,Mesic,1,Partial,1,0,0,151
