site,plot,block,liz_estimate,mam_estimates
Arid,Open,1,52,2
Arid,Open,2,61,6
Arid,Open,3,83,3
Arid,Partial,1,74,16
Arid,Partial,2,73,46
Arid,Partial,3,70,NA
Arid,Total,1,68,16
Arid,Total,2,61,41
Arid,Total,3,89,16
Intermediate,Open,1,130,NA
Intermediate,Open,2,85,6
Intermediate,Open,3,208,NA
Intermediate,Partial,1,134,8
Intermediate,Partial,2,48,2
Intermediate,Partial,3,163,NA
Intermediate,Total,1,138,32
Intermediate,Total,2,85,NA
Intermediate,Total,3,177,2
Mesic,Open,1,NA,29
Mesic,Open,2,NA,2
Mesic,Open,3,NA,13
Mesic,Partial,1,NA,216
Mesic,Partial,2,NA,16
Mesic,Partial,3,NA,NA
Mesic,Total,1,NA,63
Mesic,Total,2,NA,8
Mesic,Total,3,NA,18
